stack,sdma_enabled,ucx_rndv_thresh,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,663.25
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,643.61
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,661.24
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,666.22
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,653.62
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,665.96
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,655.97
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,8388608,658.68
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,16777216,141633.62
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,33554432,146763.91
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,3,67108864,149362.06
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,1,2.98
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,2,5.96
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,4,12.72
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,8,26.17
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,16,52.51
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,32,104.28
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,64,208.38
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,128,408.94
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,256,809.80
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,512,43.00
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,1024,85.98
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,2048,171.90
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,4096,342.54
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,8192,655.31
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,16384,660.88
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,32768,663.70
eessi,0,16777216,intra_pkg_OAM0,0,1,intra_pkg,4,4,65536,666.37
