################# NATIVE STACK #################
--- NATIVE / HSA_ENABLE_SDMA=0 ---

################################################################
# [native sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:20:12
  [run 1/6] warm-up done in 10s
  [run 2/6] recording — 20:20:22
  [run 2/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
512                   778.48
1024                  581.97
2048                 1153.11
4096                 2328.04
8192                  937.86
16384                1839.50
32768                3387.00
65536                6246.64
131072              11397.07
262144              18864.50
524288              30892.40
1048576             42938.27
2097152             57349.55
4194304             69062.72
8388608             73699.15
16777216            76097.83
33554432            76953.90
67108864            77164.96
  [run 5/6] recording — 20:24:45
  [run 5/6] done in 13s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.73
2                       5.98
4                      11.85
8                      23.52
16                     46.68
32                     96.42
64                    221.09
128                   366.24
256                   434.03
512                   779.07
1024                  586.69
2048                 1172.43
4096                 2353.53
8192                  971.94
16384                1922.77
32768                3563.05
65536                6627.86
131072              11674.82
262144              19269.00
524288              31360.02
1048576             43384.14
2097152             58106.29
4194304             69084.20
8388608             73718.41
16777216            76098.32
33554432            76913.69
67108864            77133.39
  [run 6/6] recording — 20:24:58
  [run 6/6] done in 12s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.74
2                       5.81
4                      11.74
8                      23.39
16                     47.65
32                     95.04
64                    187.63
128                   343.76
256                   435.91
512                   783.72
1024                  587.30
2048                 1175.89
4096                 2351.81
8192                  978.25
16384                1937.23
32768                3563.56
65536                6667.93
131072              11639.32
262144              19182.11
524288              31296.78
1048576             43268.53
2097152             57639.47
4194304             68905.32
8388608             73717.73
16777216            76099.16
33554432            76978.32
67108864            77191.49

################################################################
# [native sdma=0] inter_pkg_1link_02  GCD(0,2) tier=inter_pkg_1link links=1
################################################################
  [run 1/6] warm-up — 20:25:10
  [run 1/6] warm-up done in 24s
  [run 2/6] recording — 20:25:34
  [run 2/6] done in 24s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.88
2                       6.17
4                      12.67
8                      25.07
16                     51.21
32                     97.60
64                    253.58
128                   379.01
256                   443.46
512                   806.32
1024                  590.64
2048                 1184.64
4096                 2368.20
8192                 1040.81
16384                2017.17
32768                3566.17
65536                6252.73
131072              10496.53
262144              15842.90
524288              22880.27
1048576             28462.47
2097152             34688.40
4194304             37201.37
8388608             38433.08
16777216            38997.15
33554432            39105.66
67108864            39000.22
  [run 3/6] recording — 20:25:58
  [run 3/6] done in 24s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.64
2                       5.74
4                      11.70
8                      23.13
16                     47.29
32                     93.89
64                    180.74
128                   353.33
256                   441.76
512                   777.88
1024                  585.45
2048                 1176.17
4096                 2355.10
8192                 1071.48
16384                2083.27
32768                3731.98
65536                6472.60
131072              10796.15
262144              16217.50
524288              23215.26
1048576             28749.67
2097152             34839.07
4194304             37299.56
8388608             38515.92
16777216            39054.00
33554432            39118.76
67108864            38993.89
  [run 4/6] recording — 20:26:22
  [run 4/6] done in 23s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.73
2                       6.01
4                      12.08
8                      24.50
16                     48.52
32                     93.56
