################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] osu_allreduce  N=2  devices=0,1
  [run 1/6] warm-up — 23:11:46
  [run 1/6] warm-up done in 14s
  [run 2/6] recording — 23:12:00
  [run 2/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      13.75
8                      15.12
16                     13.07
32                     13.20
64                     13.26
128                    13.65
256                    13.17
512                    36.15
1024                   31.19
2048                   29.97
4096                   31.35
8192                   30.38
16384                  30.36
32768                  30.12
65536                  31.25
131072                 30.86
262144                 33.44
524288                 34.32
1048576                42.31
  [run 5/6] recording — 23:15:28
  [run 5/6] done in 3s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.68
2                      13.80
4                      14.12
8                      15.11
16                     13.44
32                     13.40
64                     13.36
128                    13.93
256                    13.43
512                    36.46
1024                   31.47
2048                   29.70
4096                   31.04
8192                   30.09
16384                  29.70
32768                  29.98
65536                  30.29
131072                 30.81
262144                 33.48
524288                 34.51
1048576                42.25
  [run 6/6] recording — 23:15:31
  [run 6/6] done in 4s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.71
2                      13.90
4                      14.23
8                      15.51
16                     13.51
32                     13.51
64                     13.53
128                    14.13
256                    13.56
512                    36.83
1024                   31.50
2048                   29.80
4096                   29.58
8192                   29.15
16384                  28.95
32768                  29.11
65536                  29.68
131072                 30.38
262144                 31.56
524288                 33.37
1048576                40.82

# [eessi sdma=0] osu_allgather  N=4  devices=0,1,2,3
  [run 1/6] warm-up — 23:15:35
  [run 1/6] warm-up done in 4s
  [run 2/6] recording — 23:15:39
  [run 2/6] done in 3s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.59
2                      14.97
4                      15.11
8                      16.57
16                     14.64
32                     14.70
64                     14.75
128                    15.41
256                    14.78
512                    44.28
1024                   55.63
2048                   55.70
4096                   55.50
8192                   56.57
16384                  56.96
32768                  58.86
65536                  61.25
131072                 66.58
262144                 77.05
524288                 95.90
1048576               133.19
  [run 3/6] recording — 23:15:42
  [run 3/6] done in 4s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.36
2                      14.83
4                      14.99
8                      16.32
16                     14.56
32                     14.49
64                     14.47
128                    15.13
