=== CFG baseline: NCH=unset AFF=unset GDR=unset ===

# [eessi_xccl cfg=baseline] osu_xccl_allreduce
  [run 1/6] warm-up — 21:42:01
  [run 1/6] warm-up done in 18s
  [run 2/6] recording — 21:42:19
  [run 2/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
524288                107.96
1048576               119.91

# [eessi_xccl cfg=affinity] osu_xccl_alltoall
  [run 1/6] warm-up — 21:45:40
  [run 1/6] warm-up done in 6s
  [run 2/6] recording — 21:45:46
  [run 2/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      31.88
2                      31.79
4                      31.78
8                      31.81
16                     31.82
32                     31.99
64                     32.07
128                    32.09
256                    32.20
512                    32.40
1024                   32.60
2048                   33.20
4096                   34.69
8192                   35.25
16384                  38.41
32768                  44.79
65536                  44.66
131072                 50.51
262144                 67.40
524288                100.37
1048576               167.59
  [run 3/6] recording — 21:45:53
  [run 3/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      31.97
2                      31.95
4                      31.96
8                      32.04
16                     32.05
32                     32.11
64                     32.17
128                    32.16
256                    32.28
512                    32.43
1024                   32.79
2048                   33.47
4096                   34.88
8192                   35.46
16384                  38.72
32768                  45.15
65536                  44.93
131072                 50.69
262144                 67.37
524288                100.60
1048576               167.44
  [run 4/6] recording — 21:45:59
  [run 4/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      32.35
2                      32.28
4                      32.20
8                      32.25
16                     32.28
32                     32.41
64                     32.45
128                    32.45
256                    32.46
512                    32.70
1024                   32.84
2048                   33.56
4096                   34.86
8192                   35.42
16384                  38.46
32768                  44.98
65536                  44.49
131072                 50.73
262144                 67.18
524288                100.16
1048576               167.13
  [run 5/6] recording — 21:46:06
  [run 5/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      32.04
2                      32.76
4                      32.83
8                      32.81
16                     32.85
32                     32.93
64                     33.03
128                    33.03
256                    33.04
512                    33.16
1024                   33.42
2048                   34.13
4096                   35.56
8192                   36.03
16384                  39.03
32768                  45.30
65536                  44.57
131072                 51.30
262144                 68.25
524288                100.56
1048576               167.65
  [run 6/6] recording — 21:46:12
  [run 6/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      32.89
2                      32.57
4                      32.56
8                      32.58
16                     32.57
32                     32.63
64                     32.78
128                    32.77
256                    32.85
512                    33.05
1024                   33.55
2048                   34.23
4096                   35.75
8192                   36.21
16384                  39.52
32768                  46.15
65536                  45.48
131072                 51.81
262144                 68.39
524288                100.94
1048576               166.76
=== CFG gdr3: NCH=unset AFF=unset GDR=3 ===

# [eessi_xccl cfg=gdr3] osu_xccl_allreduce
  [run 1/6] warm-up — 21:46:18
  [run 1/6] warm-up done in 7s
  [run 2/6] recording — 21:46:25
  [run 2/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      38.02
8                      37.69
16                     37.52
32                     38.40
64                     40.98
128                    46.86
256                    46.86
512                    47.28
1024                   47.69
2048                   48.62
4096                   49.48
8192                   50.60
16384                  51.61
32768                  51.14
65536                  51.62
131072                 52.11
262144                 84.55
524288                108.50
1048576               120.13
  [run 3/6] recording — 21:46:31
  [run 3/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      39.43
8                      37.13
16                     36.91
32                     38.11
64                     41.31
128                    46.98
256                    46.99
512                    47.43
1024                   47.62
2048                   48.54
4096                   49.40
8192                   50.49
16384                  51.67
32768                  51.08
65536                  51.42
131072                 52.04
262144                 83.95
524288                107.51
1048576               119.19
  [run 4/6] recording — 21:46:37
  [run 4/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      37.97
8                      37.21
16                     37.02
32                     38.01
64                     40.73
128                    47.30
256                    47.36
512                    47.84
1024                   47.72
2048                   48.37
4096                   49.34
8192                   50.80
16384                  51.75
32768                  51.11
65536                  51.98
131072                 52.45
262144                 84.29
524288                107.97
1048576               120.09
  [run 5/6] recording — 21:46:44
  [run 5/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      36.07
8                      34.78
16                     34.69
32                     36.38
64                     39.61
128                    45.69
256                    45.72
512                    46.30
1024                   46.34
2048                   47.17
4096                   48.11
8192                   49.09
16384                  50.33
32768                  49.66
65536                  50.33
131072                 51.23
262144                 84.18
524288                107.66
1048576               119.54
  [run 6/6] recording — 21:46:50
  [run 6/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      35.83
8                      34.77
16                     34.57
32                     36.58
64                     39.34
128                    45.20
256                    45.18
512                    45.51
1024                   46.06
2048                   46.82
4096                   47.61
8192                   48.56
16384                  49.83
32768                  49.05
65536                  49.38
131072                 50.17
262144                 83.38
524288                107.10
1048576               118.97

# [eessi_xccl cfg=gdr3] osu_xccl_alltoall
  [run 1/6] warm-up — 21:46:57
  [run 1/6] warm-up done in 6s
  [run 2/6] recording — 21:47:03
  [run 2/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      26.92
2                      26.57
4                      26.48
8                      26.59
16                     26.54
32                     26.61
64                     26.74
128                    26.72
256                    26.86
512                    27.03
1024                   27.38
2048                   28.15
4096                   29.74
8192                   30.44
16384                  33.78
32768                  40.82
65536                  39.69
131072                 46.70
262144                 64.67
524288                 98.52
1048576               166.13
  [run 3/6] recording — 21:47:10
  [run 3/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      26.67
2                      26.54
4                      26.45
8                      26.48
16                     26.46
32                     26.60
64                     26.72
128                    26.71
256                    26.82
512                    26.97
1024                   27.24
2048                   28.05
4096                   29.72
8192                   30.45
16384                  33.75
32768                  40.82
65536                  39.52
131072                 46.47
262144                 64.50
524288                 98.32
1048576               165.63
  [run 4/6] recording — 21:47:16
  [run 4/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      27.20
2                      26.69
4                      26.47
8                      28.55
16                     31.02
32                     31.06
64                     27.61
128                    26.83
256                    26.91
512                    27.16
1024                   27.42
2048                   28.12
4096                   29.78
8192                   30.53
16384                  33.80
32768                  40.90
65536                  39.66
131072                 46.76
262144                 64.73
524288                 98.60
1048576               166.09
  [run 5/6] recording — 21:47:23
  [run 5/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      33.03
2                      32.81
4                      32.87
8                      32.90
16                     32.88
32                     32.98
64                     33.11
128                    33.08
256                    33.25
512                    33.20
1024                   33.63
2048                   34.24
4096                   35.72
8192                   35.94
16384                  38.94
32768                  46.13
65536                  44.68
131072                 49.14
262144                 66.08
524288                 99.29
1048576               166.28
  [run 6/6] recording — 21:47:29
  [run 6/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      26.58
2                      26.50
4                      26.39
8                      26.48
16                     26.42
32                     26.54
64                     26.74
128                    26.63
256                    26.86
512                    26.96
1024                   27.35
2048                   28.11
4096                   29.70
8192                   30.49
16384                  33.71
32768                  40.78
65536                  39.46
131072                 46.57
262144                 64.43
524288                 98.47
1048576               166.17
=== CFG paper_full: NCH=32 AFF=1 GDR=3 ===

# [eessi_xccl cfg=paper_full] osu_xccl_allreduce
  [run 1/6] warm-up — 21:47:36
  [run 1/6] warm-up done in 6s
  [run 2/6] recording — 21:47:42
  [run 2/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      36.69
8                      36.30
16                     36.12
32                     37.92
64                     41.05
128                    46.90
256                    46.92
512                    47.38
1024                   47.46
2048                   48.55
4096                   49.34
8192                   50.51
16384                  51.52
