stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,latency_us
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,64,0.67
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,128,0.71
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,256,1.52
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,512,1.56
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,1024,2.89
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,2048,2.88
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,4096,2.70
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,8192,16.26
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,16384,16.30
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,32768,16.79
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,65536,17.44
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,131072,17.52
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,262144,19.17
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,524288,20.54
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,1048576,24.56
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,2097152,31.85
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,2,4194304,43.14
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,1,0.50
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,2,0.54
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,4,0.56
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,8,0.60
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,16,0.50
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,32,0.56
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,64,0.61
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,128,0.69
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,256,1.14
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,512,1.26
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,1024,2.66
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,2048,2.62
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,4096,2.66
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,8192,16.06
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,16384,16.09
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,32768,16.59
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,65536,17.04
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,131072,17.36
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,262144,18.90
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,524288,20.29
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,1048576,24.30
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,2097152,31.72
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,3,4194304,42.86
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,1,0.50
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,2,0.53
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,4,0.51
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,8,0.50
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,16,0.63
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,32,0.60
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,64,0.68
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,128,0.71
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,256,1.16
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,512,1.22
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,1024,2.61
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,2048,2.62
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,4096,2.66
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,8192,16.40
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,16384,16.36
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,32768,16.84
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,65536,17.09
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,131072,17.63
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,262144,19.13
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,524288,20.65
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,1048576,24.60
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,2097152,31.94
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,4,4194304,43.14
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,1,0.48
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,2,0.55
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,4,0.52
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,8,0.53
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,16,0.48
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,32,0.55
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,64,0.62
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,128,0.65
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,256,1.11
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,512,1.25
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,1024,2.68
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,2048,2.67
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,4096,2.65
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,8192,16.22
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,16384,16.28
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,32768,16.77
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,65536,17.00
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,131072,17.60
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,262144,19.01
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,524288,20.45
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,1048576,24.54
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,2097152,32.06
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,5,4194304,43.07
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,1,0.49
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,2,0.56
native,0,intra_pkg_OAM2,4,5,intra_pkg,4,6,4,0.52
