################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] cfg_routed_split  ROCR=0,1,2,3,4,5,6,7
  [run 1/6] warm-up — 21:25:33
  [run 1/6] warm-up done in 15s
  [run 2/6] recording — 21:25:48
  [run 2/6] done in 6s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
  [run 5/6] done in 6s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.71       10707819.27
2                      20.01       10004719.02
4                      40.17       10042999.53
8                      82.21       10276624.86
16                    165.80       10362496.10
32                    333.69       10427959.80
64                    657.60       10275032.72
128                    67.03         523698.50
256                   133.87         522918.53
512                   265.72         518990.92
1024                  526.78         514433.63
2048                 1050.88         513125.57
4096                 2084.51         508914.73
8192                 3817.23         465970.53
16384                7451.11         454779.80
32768               13601.90         415097.13
65536               24699.91         376890.68
131072              41877.51         319500.07
262144              63422.54         241937.80
524288              91482.42         174488.86
1048576            113956.20         108677.10
2097152            139087.53          66322.10
4194304            149073.91          35541.99
  [run 6/6] recording — 21:27:15
  [run 6/6] done in 5s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.18       10180424.16
2                      20.59       10297304.50
4                      41.96       10490742.38
8                      84.80       10599518.72
16                    169.91       10619312.28
32                    335.76       10492473.03
64                    659.16       10299403.87
128                    66.98         523302.41
256                   133.77         522536.22
512                   265.01         517600.26
1024                  530.05         517623.57
2048                 1054.87         515073.28
4096                 2074.06         506361.66
8192                 3799.85         463848.98
16384                7413.95         452511.53
32768               13461.31         410806.58
65536               24369.71         371852.34
131072              41721.69         318311.23
262144              63201.64         241095.13
524288              91296.41         174134.08
1048576            113814.49         108541.95
2097152            139002.66          66281.63
4194304            149034.64          35532.63
ALL BENCHMARKS COMPLETE  CSV=results/osu_mbw_mr_eessi_18634824.csv
