################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] osu_allreduce  N=2  devices=0,1
  [run 1/6] warm-up — 23:11:37
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 23:11:40
  [run 2/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
2048                    5.33
4096                    5.97
8192                   24.64
16384                  24.55
32768                  26.07
65536                  27.52
131072                 29.46
262144                 36.12
524288                 47.42
1048576                70.40
  [run 4/6] recording — 23:12:36
  [run 4/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.34
2                       0.34
4                       0.36
8                       0.34
16                      0.34
32                      0.34
64                      0.34
128                     0.36
256                     0.40
512                     1.57
1024                    4.97
2048                    5.18
4096                    5.95
8192                   24.27
16384                  24.61
32768                  25.47
65536                  27.02
131072                 29.81
262144                 36.69
524288                 47.71
1048576                70.66
  [run 5/6] recording — 23:12:37
  [run 5/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.34
2                       0.34
4                       0.35
8                       0.35
16                      0.35
32                      0.34
64                      0.34
128                     0.35
256                     0.39
512                     1.58
1024                    4.93
2048                    5.20
4096                    5.71
8192                   24.29
16384                  24.63
32768                  25.65
65536                  26.93
131072                 29.44
262144                 35.61
524288                 47.13
1048576                70.35
  [run 6/6] recording — 23:12:38
  [run 6/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.35
2                       0.35
4                       0.35
8                       0.35
16                      0.34
32                      0.35
64                      0.35
128                     0.35
256                     0.39
512                     1.67
1024                    4.99
2048                    5.22
4096                    5.74
8192                   24.85
16384                  25.22
32768                  26.99
65536                  27.23
131072                 29.93
262144                 35.96
524288                 47.14
1048576                71.75

# [native sdma=0] osu_bcast  N=8  devices=0,1,2,3,4,5,6,7
  [run 1/6] warm-up — 23:12:39
  [run 1/6] warm-up done in 1s
  [run 2/6] recording — 23:12:40
  [run 2/6] done in 2s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.47
2                       0.46
4                       0.50
8                       0.48
16                      0.48
32                      0.45
64                      0.46
128                     0.47
256                     0.54
512                     2.55
1024                    8.35
2048                    9.01
4096                    9.86
8192                   50.80
16384                  51.08
32768                  51.59
65536                  52.91
131072                 57.73
262144                 74.50
524288                 94.40
1048576               137.20
  [run 3/6] recording — 23:12:42
  [run 3/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.47
2                       0.47
4                       0.48
8                       0.48
16                      0.48
32                      0.49
64                      0.47
128                     0.47
256                     0.56
512                     2.53
1024                    8.19
2048                    8.77
4096                    9.89
8192                   50.45
16384                  51.05
32768                  50.79
65536                  51.35
131072                 55.98
262144                 71.68
524288                 95.32
1048576               139.94
  [run 4/6] recording — 23:12:43
  [run 4/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.46
2                       0.47
4                       0.48
8                       0.48
16                      0.48
32                      0.48
64                      0.47
128                     0.49
256                     0.60
512                     2.42
1024                    7.95
2048                    8.77
4096                    9.60
8192                   49.73
16384                  50.80
32768                  50.62
65536                  51.97
131072                 56.76
262144                 71.82
524288                 96.69
1048576               143.42
  [run 5/6] recording — 23:12:44
  [run 5/6] done in 2s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.47
2                       0.48
4                       0.49
8                       0.48
16                      0.47
32                      0.47
64                      0.47
128                     0.49
256                     0.57
512                     2.63
1024                    8.35
2048                    9.00
4096                    9.82
8192                   49.79
16384                  50.74
32768                  51.77
65536                  51.96
131072                 56.27
262144                 67.99
524288                 93.53
1048576               134.59
  [run 6/6] recording — 23:12:46
  [run 6/6] done in 1s

# OSU MPI-ROCM Broadcast Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.45
2                       0.48
4                       0.47
8                       0.49
16                      0.49
32                      0.47
64                      0.47
128                     0.49
256                     0.57
512                     2.55
1024                    8.15
2048                    8.82
4096                    9.75
8192                   47.51
16384                  48.71
32768                  50.92
65536                  52.72
131072                 57.18
262144                 71.75
524288                 96.06
1048576               138.69

# [native sdma=0] osu_allgather  N=2  devices=0,1
  [run 1/6] warm-up — 23:12:47
  [run 1/6] warm-up done in 1s
  [run 2/6] recording — 23:12:48
  [run 2/6] done in 1s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.73
2                       0.73
4                       0.73
8                       0.74
16                      0.73
32                      0.81
64                      0.86
128                     0.90
256                     2.14
512                     2.23
1024                    5.08
2048                    6.02
4096                    7.12
8192                   32.31
16384                  31.99
32768                  33.09
65536                  33.68
131072                 34.21
262144                 37.13
524288                 38.95
1048576                44.02
  [run 3/6] recording — 23:12:49
  [run 3/6] done in 1s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.71
2                       0.73
4                       0.72
8                       0.73
16                      0.72
32                      0.80
64                      0.86
128                     0.88
256                     2.13
512                     2.23
1024                    5.12
2048                    5.97
4096                    7.14
8192                   32.33
16384                  32.38
32768                  33.08
65536                  33.56
131072                 34.13
262144                 37.63
524288                 38.67
1048576                43.82
  [run 4/6] recording — 23:12:50
  [run 4/6] done in 0s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.72
2                       0.74
4                       0.73
8                       0.74
16                      0.73
32                      0.81
64                      0.86
128                     0.90
256                     2.22
512                     2.20
1024                    4.98
2048                    6.01
4096                    7.13
8192                   32.22
16384                  32.05
32768                  33.16
65536                  33.48
131072                 34.13
262144                 37.00
524288                 38.72
1048576                43.93
  [run 5/6] recording — 23:12:50
  [run 5/6] done in 2s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.72
2                       0.73
4                       0.73
8                       0.82
16                      0.73
32                      0.82
64                      0.84
128                     0.89
256                     2.15
512                     2.22
1024                    5.17
2048                    6.05
4096                    7.17
8192                   32.43
16384                  32.28
32768                  33.27
65536                  33.69
131072                 34.36
262144                 37.24
524288                 38.93
1048576                43.76
  [run 6/6] recording — 23:12:52
  [run 6/6] done in 1s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.73
2                       0.73
4                       0.72
8                       0.73
16                      0.72
32                      0.81
64                      0.86
128                     0.88
256                     2.16
512                     2.23
1024                    5.08
2048                    5.93
4096                    7.10
8192                   32.24
16384                  32.16
32768                  33.20
65536                  33.63
131072                 34.34
262144                 37.29
524288                 38.80
1048576                43.98

# [native sdma=0] osu_allgather  N=4  devices=0,1,2,3
  [run 1/6] warm-up — 23:12:53
  [run 1/6] warm-up done in 1s
  [run 2/6] recording — 23:12:54
  [run 2/6] done in 1s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.10
2                       2.07
4                       2.16
8                       2.06
16                      2.07
32                      2.17
64                      2.35
128                     3.71
256                     5.45
512                     8.45
1024                   11.43
2048                   12.77
4096                   27.15
8192                   51.73
16384                  52.55
32768                  54.27
65536                  56.01
131072                 98.90
262144                110.33
524288                128.50
1048576               175.91
  [run 3/6] recording — 23:12:55
  [run 3/6] done in 1s

# OSU MPI-ROCM Allgather Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.16
2                       2.05
4                       2.05
8                       2.04
16                      2.15
32                      2.16
64                      2.36
128                     3.70
256                     5.69
512                     8.61
1024                   11.32
