stack,sdma_enabled,mpich_gpu_ipc_threshold,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,173.85
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,357.04
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,426.95
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,767.37
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,1264.07
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,1141.07
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,2285.48
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,1091.09
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,2171.36
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,4049.95
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,7822.94
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,14755.99
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,23357.68
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,41230.33
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,61417.12
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,85165.55
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,117949.40
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,8388608,132958.00
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,16777216,142756.66
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,33554432,148029.81
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,3,67108864,150288.71
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,1,2.71
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,2,6.05
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,4,11.96
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,8,24.07
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,16,48.10
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,32,93.47
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,64,187.42
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,128,346.62
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,256,425.73
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,512,774.47
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,1024,1337.72
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,2048,1121.11
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,4096,2244.67
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,8192,1107.33
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,16384,2205.49
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,32768,4109.23
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,65536,7965.41
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,131072,14788.62
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,262144,23359.63
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,524288,41342.92
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,1048576,61610.06
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,2097152,85260.90
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,4194304,118004.15
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,8388608,133115.54
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,16777216,142727.03
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,33554432,148143.57
native,0,2048,intra_pkg_OAM0,0,1,intra_pkg,4,4,67108864,150067.14
