################# EESSI STACK ##################
--- EESSI / HSA_ENABLE_SDMA=0 ---

################################################################
# [eessi sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:20:13
  [run 1/6] warm-up done in 19s
  [run 2/6] recording — 20:20:32
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
2097152             34361.74
4194304             37128.06
8388608             38346.34
16777216            38879.61
33554432            38984.57
67108864            38900.68
  [run 4/6] recording — 20:27:41
  [run 4/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.84
2                       5.67
4                      12.19
8                      24.96
16                     50.36
32                    100.22
64                    194.57
128                   386.78
256                    29.75
512                    58.51
1024                  117.03
2048                  232.84
4096                  463.59
8192                  879.20
16384                1678.41
32768                3075.54
65536                5629.73
131072               9809.45
262144              15070.25
524288              22096.14
1048576             27831.56
2097152             34342.28
4194304             37074.32
8388608             38316.83
16777216            38918.48
33554432            39073.68
67108864            38991.32
  [run 5/6] recording — 20:28:07
  [run 5/6] done in 27s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.02
2                       5.96
4                      12.87
8                      26.46
16                     52.84
32                    103.91
64                    205.10
128                   415.29
256                    29.51
512                    58.17
1024                  116.28
2048                  232.36
4096                  462.25
8192                  880.50
16384                1669.07
32768                3040.16
65536                5602.38
131072               9746.73
262144              14988.06
524288              22023.54
1048576             27837.40
2097152             34283.78
4194304             37052.73
8388608             38294.58
16777216            38853.52
33554432            38972.12
67108864            38896.33
  [run 6/6] recording — 20:28:34
  [run 6/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.69
2                       5.94
4                      12.08
8                      24.62
16                     51.40
32                     95.49
64                    208.86
128                   374.73
256                    29.35
512                    57.54
1024                  114.84
2048                  228.75
4096                  449.89
8192                  868.31
16384                1672.86
32768                3037.13
65536                5598.22
131072               9753.34
262144              14958.29
524288              21974.16
1048576             27896.50
2097152             34439.67
4194304             37145.69
8388608             38350.69
16777216            38915.14
33554432            39044.59
67108864            38961.54

################################################################
# [eessi sdma=0] inter_pkg_1link_15  GCD(1,5) tier=inter_pkg_1link links=1
################################################################
  [run 1/6] warm-up — 20:29:00
  [run 1/6] warm-up done in 26s
  [run 2/6] recording — 20:29:26
  [run 2/6] done in 27s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.79
2                       5.51
4                      11.76
8                      24.07
16                     46.63
32                     96.37
64                    192.46
128                   344.22
256                    32.18
512                    64.38
1024                  128.30
2048                  255.67
4096                  506.06
8192                  935.54
16384                1829.93
32768                3363.63
65536                6167.03
131072              10601.28
262144              15981.31
524288              22943.73
1048576             28568.51
2097152             34818.16
4194304             37233.08
8388608             38354.90
16777216            38863.95
33554432            38936.62
67108864            38822.40
  [run 3/6] recording — 20:29:53
  [run 3/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.93
2                       5.98
4                      12.60
8                      25.43
16                     51.35
32                    101.88
64                    207.16
128                   397.16
256                    32.24
512                    63.97
1024                  127.86
2048                  256.03
4096                  509.90
8192                  941.52
16384                1840.22
32768                3357.14
65536                6166.06
131072              10667.52
262144              16064.70
524288              22976.81
1048576             28577.51
2097152             34759.17
4194304             37178.14
8388608             38285.36
16777216            38817.15
33554432            38933.85
67108864            38826.91
  [run 4/6] recording — 20:30:19
  [run 4/6] done in 27s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.89
2                       6.00
4                      12.84
8                      26.24
16                     52.64
32                    104.93
64                    209.60
128                   374.66
256                    32.57
512                    64.50
1024                  129.00
2048                  257.69
4096                  512.48
8192                  944.31
16384                1842.14
32768                3376.85
65536                6186.31
131072              10700.32
262144              16076.07
524288              23035.79
1048576             28594.75
2097152             34823.07
4194304             37259.67
8388608             38386.12
16777216            38897.60
33554432            39005.25
67108864            38883.07
  [run 5/6] recording — 20:30:46
  [run 5/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.93
2                       5.88
4                      12.81
8                      26.24
16                     51.42
32                     94.81
64                    208.84
128                   413.66
256                    32.39
512                    64.37
1024                  128.63
2048                  257.22
4096                  503.47
8192                  933.98
16384                1826.68
32768                3344.67
65536                6140.68
131072              10603.05
262144              15989.43
524288              22957.45
1048576             28549.34
2097152             34725.35
4194304             37172.59
8388608             38333.34
16777216            38849.49
33554432            38956.47
67108864            38843.18
  [run 6/6] recording — 20:31:12
  [run 6/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.04
2                       5.96
4                      12.98
8                      26.66
16                     53.33
32                    104.41
64                    211.49
128                   418.50
256                    32.47
512                    64.22
1024                  128.52
2048                  256.38
4096                  505.02
8192                  931.51
16384                1821.12
32768                3328.55
65536                6114.14
131072              10559.88
262144              15986.64
524288              22913.00
1048576             28491.85
2097152             34687.12
4194304             37133.41
8388608             38296.84
16777216            38801.50
33554432            38924.04
67108864            38815.40

################################################################
# [eessi sdma=0] inter_pkg_1link_37  GCD(3,7) tier=inter_pkg_1link links=1
################################################################
  [run 1/6] warm-up — 20:31:38
  [run 1/6] warm-up done in 27s
  [run 2/6] recording — 20:32:05
  [run 2/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.95
2                       5.92
4                      12.46
8                      25.75
16                     50.85
32                     96.12
64                    201.34
128                   399.73
256                    35.95
512                    71.92
1024                  144.10
2048                  287.52
4096                  563.38
8192                 1028.97
16384                2006.87
32768                3667.03
65536                6671.42
131072              11286.28
262144              16802.81
524288              23745.30
1048576             29072.51
2097152             34929.02
4194304             37210.36
8388608             38349.79
16777216            38847.32
33554432            38982.83
67108864            38910.10
  [run 3/6] recording — 20:32:31
  [run 3/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.97
2                       5.99
4                      12.71
8                      26.09
16                     52.34
32                    104.77
64                    207.62
128                   412.13
256                    35.10
512                    69.39
1024                  139.71
2048                  284.25
4096                  557.46
8192                 1009.92
16384                1989.32
32768                3580.17
65536                6554.69
131072              11164.71
262144              16697.13
524288              23663.06
1048576             29063.73
2097152             34977.53
4194304             37280.26
8388608             38398.37
16777216            38929.65
33554432            39042.63
67108864            38939.38
  [run 4/6] recording — 20:32:57
  [run 4/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.99
2                       5.91
4                      12.31
8                      25.59
16                     50.68
32                    104.44
64                    198.90
128                   396.45
256                    35.71
512                    71.16
1024                  142.29
2048                  283.92
4096                  569.17
8192                 1039.14
16384                2026.96
32768                3684.23
65536                6710.69
131072              11384.41
262144              16933.98
524288              23894.63
1048576             29242.59
2097152             35047.13
4194304             37311.26
8388608             38437.01
16777216            38953.22
33554432            39043.03
67108864            38960.57
  [run 5/6] recording — 20:33:23
  [run 5/6] done in 27s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.93
2                       5.84
4                      12.29
8                      25.74
16                     50.54
32                    102.58
64                    197.20
128                   403.36
256                    35.87
512                    71.42
1024                  142.85
2048                  285.41
4096                  571.03
8192                 1031.01
16384                2009.63
32768                3655.15
65536                6639.93
131072              11321.22
262144              16843.56
524288              23750.43
1048576             29088.54
2097152             34929.75
4194304             37224.27
8388608             38322.50
16777216            38842.98
33554432            38964.42
67108864            38896.65
  [run 6/6] recording — 20:33:50
  [run 6/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.99
2                       5.84
4                      12.71
8                      25.93
16                     50.29
32                    100.65
64                    207.49
128                   411.38
256                    35.61
512                    71.19
1024                  142.11
2048                  284.77
4096                  567.17
8192                 1028.11
16384                2005.24
32768                3647.20
65536                6645.71
131072              11280.18
262144              16835.47
524288              23753.22
1048576             29172.76
2097152             34966.88
4194304             37285.40
8388608             38424.82
16777216            38944.73
33554432            39034.23
67108864            38940.95

################################################################
# [eessi sdma=0] inter_pkg_1link_57  GCD(5,7) tier=inter_pkg_1link links=1
################################################################
  [run 1/6] warm-up — 20:34:16
  [run 1/6] warm-up done in 26s
  [run 2/6] recording — 20:34:42
  [run 2/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.88
2                       5.85
4                      11.46
8                      25.39
16                     51.18
32                     94.20
64                    202.41
128                   399.10
256                    37.32
512                    74.49
1024                  148.82
2048                  297.37
4096                  580.19
8192                 1055.91
16384                2059.21
32768                3766.35
65536                6832.91
131072              11529.70
262144              17110.64
524288              24106.53
1048576             29455.69
2097152             35233.16
