######## EESSI STACK (HSA_ENABLE_SDMA=0, UCX_RNDV_THRESH=1024) ########

################################################################
# [eessi sdma=0 rndv=1024] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 01:00:40
  [run 1/6] warm-up done in 22s
  [run 2/6] recording — 01:01:02
  [run 2/6] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.94
2                       5.57
4                      12.30
8                      25.78
16                     51.57
32                     93.47
64                    204.63
128                   404.87
256                   745.96
512                    45.82
1024                  142.73
2048                  285.77
4096                  559.05
8192                 1022.03
16384                2022.70
32768                3712.73
65536                6859.06
131072              12153.56
262144              19635.91
524288              31862.01
1048576             43857.43
2097152             58363.91
4194304             69154.94
8388608             73835.67
16777216            76236.12
33554432            77075.62
67108864            77165.55
  [run 6/6] recording — 01:06:35
  [run 6/6] done in 15s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.89
2                       5.81
4                      12.41
8                      24.99
16                     50.67
32                    100.13
64                    200.81
128                   388.66
256                   779.22
512                    46.07
1024                  142.72
2048                  284.32
4096                  568.83
8192                 1031.00
16384                2044.77
32768                3774.28
65536                7089.61
131072              12120.88
262144              19538.06
524288              31875.09
1048576             43804.44
2097152             58448.46
4194304             69196.52
8388608             73885.52
16777216            76346.32
33554432            77201.68
67108864            77302.26

################################################################
# [eessi sdma=0 rndv=1024] inter_pkg_1link_02  GCD(0,2) tier=inter_pkg_1link links=1
################################################################
  [run 1/6] warm-up — 01:06:50
  [run 1/6] warm-up done in 27s
  [run 2/6] recording — 01:07:17
  [run 2/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.97
2                       5.96
4                      12.74
8                      26.09
16                     52.16
32                    104.42
64                    207.50
128                   407.49
256                   800.50
512                    42.74
1024                  119.74
2048                  236.19
4096                  475.24
8192                  899.43
16384                1727.07
32768                3054.58
65536                5630.74
131072               9805.90
262144              15019.08
524288              22099.37
1048576             27853.13
2097152             34540.82
4194304             37174.13
8388608             38384.34
16777216            38942.50
33554432            39067.47
67108864            38978.79
  [run 3/6] recording — 01:07:43
  [run 3/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       5.91
4                      12.68
8                      25.95
16                     52.08
32                    103.86
64                    205.79
128                   405.89
256                   796.23
512                    42.78
1024                  118.46
2048                  235.54
4096                  461.51
8192                  895.07
16384                1702.49
32768                3058.09
65536                5635.63
131072               9754.56
262144              15019.85
524288              22028.25
1048576             27876.02
2097152             34389.05
4194304             37119.73
8388608             38352.32
16777216            38927.77
33554432            39056.14
67108864            38952.28
  [run 4/6] recording — 01:08:09
  [run 4/6] done in 27s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.89
2                       5.77
4                      12.25
8                      25.23
16                     50.28
32                    100.84
64                    199.89
128                   396.04
256                   707.86
512                    42.85
1024                  120.44
2048                  241.63
4096                  469.64
8192                  896.12
16384                1709.02
32768                3081.26
65536                5646.69
131072               9765.09
262144              15004.05
524288              22022.10
1048576             27872.12
2097152             34444.83
4194304             37120.61
8388608             38364.64
16777216            38932.42
33554432            39062.17
67108864            38961.36
  [run 5/6] recording — 01:08:36
  [run 5/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.94
2                       5.90
4                      12.59
8                      25.77
16                     51.81
32                     94.48
64                    204.92
128                   403.05
256                   791.16
512                    42.83
1024                  120.43
2048                  234.90
4096                  465.96
8192                  885.24
16384                1662.41
32768                3045.82
65536                5649.48
131072               9806.55
262144              15033.55
524288              22033.38
1048576             27829.55
2097152             34381.08
4194304             37091.04
8388608             38333.09
16777216            38908.38
33554432            39045.17
67108864            38962.46
  [run 6/6] recording — 01:09:02
  [run 6/6] done in 26s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.93
2                       5.84
4                      12.51
8                      25.59
16                     51.48
32                    102.55
64                    204.30
128                   400.73
256                   787.40
512                    42.82
1024                  125.42
2048                  250.11
4096                  484.43
8192                  902.81
16384                1731.72
32768                3054.38
65536                5640.00
131072               9755.72
262144              14965.34
524288              21983.93
1048576             27855.20
2097152             34452.06
4194304             37144.66
8388608             38363.48
16777216            38934.94
33554432            39065.18
67108864            38960.65

################################################################
