################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:50:25
  [run 1/6] warm-up done in 19s
  [run 2/6] recording — 20:50:44
  [run 2/6] done in 11s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.71
2                       7.40
4                      14.85
8                      29.70
16                     59.42
32                    118.66
64                    219.48
128                   455.93
256                    57.06
512                   114.71
1024                  228.20
2048                  455.21
4096                  930.38
8192                 1781.03
16384                3462.84
32768                6518.14
65536               11783.58
131072              21544.74
262144              35958.64
524288              60464.73
1048576             83612.45
2097152            112931.88
4194304            132871.54
8388608            140364.08
16777216           144106.73
33554432           145100.89
67108864           145158.07
  [run 5/6] recording — 20:54:42
  [run 5/6] done in 17s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.75
2                       7.52
4                      15.09
8                      30.20
16                     60.59
32                    120.85
64                    237.62
128                   457.87
256                    57.54
512                   115.60
1024                  229.43
2048                  449.64
4096                  917.48
8192                 1751.17
16384                3415.13
32768                6212.00
65536               11841.11
131072              21774.29
262144              36319.36
524288              60494.16
1048576             83518.58
2097152            111301.56
4194304            132752.63
8388608            140271.85
16777216           144104.54
33554432           145066.54
67108864           144913.77
  [run 6/6] recording — 20:54:58
  [run 6/6] done in 16s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.60
2                       7.20
4                      13.94
8                      28.08
16                     55.58
32                    107.87
64                    211.75
128                   417.30
256                    55.87
512                   110.31
1024                  219.26
2048                  437.50
4096                  866.85
8192                 1726.69
16384                3422.10
32768                6231.48
65536               11851.27
131072              21686.64
262144              35939.37
