################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
  [run 1/6] warm-up — 20:50:27
  [run 1/6] warm-up done in 9s
  [run 2/6] recording — 20:50:36
  [run 2/6] done in 8s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
  [run 2/6] done in 13s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.58
2                       8.75
4                      18.35
8                      36.66
16                     73.19
32                    143.44
64                    273.00
128                   531.64
256                   520.52
512                   932.90
1024                  892.26
2048                 1763.64
4096                 3429.93
8192                 1875.40
16384                3708.10
32768                6674.15
65536               12665.75
131072              22638.54
262144              37293.34
524288              61334.73
1048576             84952.35
2097152            112931.86
4194304            133148.80
8388608            140643.81
16777216           144379.01
33554432           145254.18
67108864           145123.45
  [run 3/6] recording — 20:54:41
  [run 3/6] done in 14s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.65
2                       9.11
4                      18.22
8                      36.64
16                     69.76
32                    141.98
64                    273.92
128                   535.08
256                   515.37
512                   923.81
1024                  901.28
2048                 1780.45
4096                 3482.10
8192                 1892.27
16384                3738.37
32768                6822.67
65536               12624.21
131072              22685.61
262144              37400.32
524288              61475.68
1048576             85102.67
2097152            113502.97
4194304            133284.68
8388608            140668.34
16777216           144331.70
33554432           145273.03
67108864           145102.38
  [run 4/6] recording — 20:54:55
  [run 4/6] done in 13s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.62
2                       9.15
4                      18.16
8                      36.62
16                     72.72
32                    141.64
64                    270.04
128                   529.67
256                   522.04
512                   843.92
1024                  898.91
2048                 1744.52
4096                 3331.14
8192                 1855.25
16384                3699.32
32768                6717.01
65536               12593.19
131072              22539.94
262144              37196.19
524288              61188.38
1048576             84419.56
2097152            112788.10
4194304            133348.05
8388608            140741.80
16777216           144350.97
33554432           145120.87
67108864           145079.11
  [run 5/6] recording — 20:55:08
  [run 5/6] done in 15s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.76
2                       9.39
4                      18.77
8                      37.64
16                     73.81
32                    146.05
64                    282.47
128                   550.33
256                   531.58
512                   957.83
1024                  904.66
2048                 1795.65
4096                 3513.23
8192                 1818.62
16384                3575.94
32768                6478.85
65536               12163.17
131072              22064.02
262144              36794.43
524288              60609.27
1048576             84014.92
2097152            112399.15
4194304            133045.78
8388608            140429.42
16777216           144113.43
33554432           145064.21
67108864           144943.73
  [run 6/6] recording — 20:55:23
  [run 6/6] done in 13s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.55
2                       9.01
4                      17.94
8                      36.16
16                     71.97
32                    139.54
64                    271.41
128                   528.74
256                   514.85
512                   936.49
1024                  884.13
2048                 1756.03
4096                 3480.29
8192                 1893.07
16384                3743.33
32768                6872.09
65536               12723.87
131072              22661.95
262144              37260.37
524288              61209.57
1048576             84888.32
2097152            112567.13
4194304            133160.86
8388608            140655.73
16777216           144410.75
33554432           145284.85
67108864           145189.48

# [native sdma=0] inter_pkg_1link_02  GCD(0,2) tier=inter_pkg_1link links=1
  [run 1/6] warm-up — 20:55:36
  [run 1/6] warm-up done in 26s
  [run 2/6] recording — 20:56:02
  [run 2/6] done in 25s

