stack,sdma_enabled,config_label,nccl_nchannels,nccl_ignore_aff,nccl_net_gdr,benchmark,num_gcds,run,size_bytes,latency_us
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,1024,48.65
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,2048,49.35
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,4096,50.19
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,8192,51.43
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,16384,52.41
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,32768,52.18
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,65536,52.18
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,131072,52.99
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,262144,84.12
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,524288,107.30
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,3,1048576,119.33
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,4,43.17
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,8,36.45
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,16,36.39
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,32,38.04
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,64,41.33
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,128,46.99
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,256,46.98
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,512,47.22
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,1024,47.69
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,2048,48.61
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,4096,49.41
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,8192,50.77
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,16384,51.86
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,32768,52.03
eessi_xccl,0,channels32,32,NA,NA,osu_xccl_allreduce,8,4,65536,51.47
