STACK=eessi  NODE_A=nid007960  NODE_B=nid007961
################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################
[fixed_rxmatch] FI_CXI_RX_MATCH_MODE=hardware

################################################################
# [eessi sdma=0] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
#   FI_CXI_RX_MATCH_MODE=hardware
################################################################
1                      17.37
2                      17.39
4                      17.45
8                      17.39
16                     17.39
32                     17.41
64                     17.42
128                    17.97
256                     3.67
512                     3.76
1024                    3.88
2048                    4.09
4096                    3.99
8192                    7.45
16384                   7.94
32768                   8.72
65536                  10.05
131072                 12.79
262144                 21.72
524288                 29.05
1048576                50.78
2097152                94.29
4194304               181.66
  [run 5/6] recording - 18:47:14
  [run 5/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.34
2                      17.33
4                      17.34
8                      17.36
16                     17.32
32                     17.39
64                     17.35
128                    17.88
256                     3.66
512                     3.75
1024                    3.88
2048                    3.94
4096                    4.13
8192                    7.55
16384                   7.94
32768                   8.72
65536                  10.04
131072                 12.79
262144                 18.23
524288                 32.83
1048576                50.91
2097152                94.62
4194304               182.33
  [run 6/6] recording - 18:47:18
  [run 6/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.47
2                      17.50
4                      17.43
8                      17.46
16                     17.62
32                     17.49
64                     17.48
128                    18.01
256                     3.68
512                     3.88
1024                    3.72
2048                    3.86
4096                    3.96
8192                    7.74
16384                   7.94
32768                   8.70
65536                  10.05
131072                 12.88
262144                 18.15
524288                 36.30
1048576                50.88
2097152                94.54
4194304               182.26

################################################################
# [eessi sdma=0] inter_GCD5_GCD5  GCD(5,5)  nic=nic_local
#   FI_CXI_RX_MATCH_MODE=hardware
################################################################
  [run 1/6] warm-up - 18:47:22
  [run 1/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.82
2                      16.79
4                      16.79
8                      16.78
16                     16.79
32                     16.80
64                     16.80
128                    17.37
256                     2.91
512                     2.96
1024                    3.11
2048                    3.25
4096                    3.21
8192                    6.16
16384                   6.72
32768                   7.55
65536                   8.92
131072                 11.72
262144                 17.11
524288                 28.01
1048576                49.80
2097152                92.97
4194304               179.35
  [run 2/6] recording - 18:47:26
  [run 2/6] done in 5s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.71
2                      16.65
4                      16.90
8                      16.71
16                     16.71
32                     16.65
64                     16.68
128                    17.21
256                     2.91
512                     2.95
1024                    3.04
2048                    3.12
4096                    3.36
8192                    6.24
16384                   6.71
32768                   7.58
65536                   8.92
131072                 11.71
262144                 17.13
524288                 28.02
1048576                49.70
2097152                92.97
4194304               179.31
  [run 3/6] recording - 18:47:31
  [run 3/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.82
2                      16.89
4                      16.79
8                      16.79
16                     16.79
32                     16.81
64                     16.84
128                    17.36
256                     2.92
512                     2.96
1024                    3.02
2048                    3.22
4096                    3.39
8192                    6.22
16384                   6.71
32768                   7.55
65536                   8.90
131072                 11.71
262144                 17.10
524288                 28.01
1048576                49.70
2097152                92.96
4194304               179.31
  [run 4/6] recording - 18:47:35
  [run 4/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.79
2                      16.81
4                      16.81
8                      16.82
16                     16.80
32                     16.78
64                     16.80
128                    17.34
256                     2.95
512                     2.97
1024                    3.04
2048                    3.11
4096                    3.22
8192                    6.25
16384                   6.71
32768                   7.55
65536                   8.93
131072                 11.73
262144                 17.14
524288                 28.02
1048576                49.69
2097152                92.96
4194304               179.31
  [run 5/6] recording - 18:47:39
  [run 5/6] done in 5s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.88
2                      16.88
4                      17.07
8                      16.90
16                     16.86
32                     16.89
64                     16.89
128                    17.42
256                     2.92
512                     2.96
1024                    3.08
2048                    3.37
4096                    3.39
8192                    6.22
16384                   6.72
32768                   7.55
65536                   8.91
131072                 11.74
262144                 17.14
524288                 28.02
1048576                49.72
2097152                92.97
4194304               179.38
  [run 6/6] recording - 18:47:44
  [run 6/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.64
2                      16.65
4                      16.66
8                      16.85
16                     16.65
32                     16.65
64                     16.77
128                    17.22
256                     2.92
512                     3.02
1024                    3.02
2048                    3.16
4096                    3.25
8192                    6.28
16384                   6.72
32768                   7.54
65536                   8.93
131072                 11.75
262144                 17.10
524288                 28.01
1048576                49.72
2097152                92.95
4194304               179.41

################################################################
# [eessi sdma=0] inter_GCD7_GCD7  GCD(7,7)  nic=nic_local
#   FI_CXI_RX_MATCH_MODE=hardware
################################################################
  [run 1/6] warm-up - 18:47:48
  [run 1/6] done in 4s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.50
2                      17.54
4                      17.65
8                      17.53
16                     17.72
32                     17.50
64                     17.51
