STACK=native  NODE_A=nid007975  NODE_B=nid007976
################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

################################################################
# [native sdma=0] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:22:00
  [run 1/6] done in 5s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
# [native sdma=0] inter_GCD7_GCD7  GCD(7,7)  nic=nic_local
################################################################
  [run 1/6] warm-up - 18:22:47
  [run 1/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.72
2                       2.70
4                       2.73
8                       2.71
16                      2.71
32                      2.74
64                      2.72
128                     3.26
256                     3.56
512                     3.91
1024                    3.91
2048                    4.26
4096                    4.38
8192                    4.49
16384                   5.07
32768                   8.86
65536                  10.23
131072                 13.00
262144                 22.09
524288                 29.30
1048576                51.32
2097152                95.10
4194304               183.49
  [run 2/6] recording - 18:22:48
srun: Step created for StepId=18750321.43
  [run 2/6] done in 2s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.72
2                       2.73
4                       2.73
8                       2.75
16                      2.76
32                      2.78
64                      2.74
128                     3.27
256                     3.68
512                     3.90
1024                    3.88
2048                    4.09
4096                    4.11
8192                    4.53
16384                   5.14
32768                   8.92
65536                  10.34
131072                 12.99
262144                 18.34
524288                 29.24
1048576                51.01
2097152                97.83
4194304               182.14
  [run 3/6] recording - 18:22:50
  [run 3/6] done in 0s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.71
2                       2.72
4                       2.76
8                       2.74
16                      2.72
32                      2.76
64                      2.73
128                     3.29
256                     3.71
512                     3.87
1024                    3.93
2048                    4.24
4096                    4.35
8192                    4.53
16384                   5.11
32768                   8.91
65536                  10.31
131072                 13.03
262144                 18.40
524288                 29.26
1048576                51.10
2097152                94.74
4194304               182.68
  [run 4/6] recording - 18:22:50
  [run 4/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.74
2                       2.73
4                       2.72
8                       2.70
16                      2.73
32                      2.74
64                      2.72
128                     3.28
256                     3.69
512                     3.88
1024                    3.87
2048                    4.07
4096                    4.24
8192                    4.54
16384                   5.13
32768                   8.89
65536                  10.24
131072                 12.99
262144                 18.42
524288                 29.33
1048576                51.22
2097152                95.08
4194304               183.38
  [run 5/6] recording - 18:22:51
  [run 5/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.74
2                       2.71
4                       2.73
8                       2.72
16                      2.71
32                      2.74
64                      2.72
128                     3.27
256                     3.66
512                     3.91
1024                    3.90
2048                    4.07
4096                    4.13
8192                    4.57
16384                   5.18
32768                   8.91
65536                  10.26
131072                 13.01
262144                 18.44
524288                 33.04
1048576                51.22
2097152                95.14
4194304               183.39
  [run 6/6] recording - 18:22:52
srun: Step created for StepId=18750321.47
  [run 6/6] done in 2s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.74
2                       2.73
4                       2.73
8                       2.70
16                      2.71
32                      2.74
64                      2.73
128                     3.29
256                     3.56
512                     3.89
1024                    3.86
2048                    4.09
4096                    4.16
8192                    4.53
16384                   5.10
32768                   8.88
65536                  10.28
131072                 13.00
262144                 18.38
524288                 29.33
1048576                51.23
2097152                95.13
4194304               183.38
ALL BENCHMARKS COMPLETE  CSV=results/osu_latency_native_18750321.csv
