STACK=native  NODE_A=nid007968  NODE_B=nid007969
################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

################################################################
# [native sdma=0] inter_GCD0_GCD0  GCD(0,0)  nic=nic_via_xgmi
################################################################
  [run 1/6] warm-up - 18:13:51
  [run 1/6] done in 5s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
  [run 5/6] recording - 18:14:45
  [run 5/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.56
2                       3.13
4                       6.26
8                      12.52
16                     25.05
32                     50.11
64                    100.20
128                   199.73
256                   395.46
512                   789.65
1024                 1580.22
2048                 3160.54
4096                 5642.02
8192                12958.70
16384               24647.79
32768               31130.58
65536               37353.06
131072              41416.15
262144              43994.15
524288              45310.82
1048576             46001.86
  [run 6/6] recording - 18:14:46
  [run 6/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.14
4                       6.30
8                      12.60
16                     25.15
32                     50.31
64                    100.50
128                   201.16
256                   396.85
512                   793.51
1024                 1571.61
2048                 3175.91
4096                 6358.43
8192                13124.43
16384               24605.62
32768               31001.49
65536               37301.56
131072              41444.51
262144              43946.10
524288              45289.60
1048576             45988.12

################################################################
# [native sdma=0] inter_GCD3_GCD3  GCD(3,3)  nic=nic_local
################################################################
  [run 1/6] warm-up - 18:14:48
  [run 1/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.17
4                       6.35
8                      12.70
16                     25.40
32                     50.10
64                    100.83
128                   197.17
256                   399.89
512                   800.10
1024                 1602.29
2048                 3206.41
4096                 6404.44
8192                13173.05
16384               23413.00
32768               28511.40
65536               36356.32
131072              40335.07
262144              41846.34
524288              42976.01
1048576             43160.25
  [run 2/6] recording - 18:14:50
srun: Step created for StepId=18750219.31
  [run 2/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.15
4                       6.29
8                      12.61
16                     25.21
32                     50.42
64                    100.80
128                   201.22
256                   399.98
512                   798.80
1024                 1600.71
2048                 3199.33
4096                 6398.57
8192                13170.41
16384               23514.73
32768               28324.71
65536               36421.31
131072              40662.09
262144              42008.51
524288              43174.38
1048576             43632.68
  [run 3/6] recording - 18:14:52
srun: Step created for StepId=18750219.32
  [run 3/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.32
8                      12.65
16                     25.29
32                     49.71
64                    101.14
128                   201.44
256                   397.32
512                   794.06
1024                 1594.16
2048                 3187.45
4096                 6378.74
8192                13123.89
16384               23524.95
32768               28728.48
65536               36290.31
131072              40667.44
262144              42139.44
524288              43322.81
1048576             43642.14
  [run 4/6] recording - 18:14:53
  [run 4/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.32
8                      12.65
16                     25.32
32                     50.63
64                    101.13
128                   201.90
256                   399.32
512                   797.97
1024                 1596.98
2048                 3194.44
4096                 6387.66
8192                13146.39
16384               23572.90
32768               28621.52
65536               36488.84
131072              40775.33
262144              42183.24
524288              43350.65
1048576             43816.60
  [run 5/6] recording - 18:14:54
  [run 5/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.55
2                       3.11
4                       6.21
8                      12.43
16                     24.85
32                     49.75
64                     99.47
128                   199.13
256                   393.32
512                   790.52
1024                 1583.16
2048                 3160.67
4096                 6319.01
8192                12997.35
16384               23528.37
32768               28632.20
65536               36316.82
131072              40733.79
262144              42146.54
524288              43317.02
1048576             43852.10
  [run 6/6] recording - 18:14:56
  [run 6/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.32
8                      12.66
16                     25.31
32                     50.68
64                    101.25
128                   202.41
256                   398.20
512                   798.34
1024                 1596.41
2048                 3192.65
4096                 6355.21
8192                13133.69
16384               23523.89
32768               28560.89
65536               36476.75
131072              40604.01
262144              41943.19
524288              43086.49
1048576             43569.43

################################################################
# [native sdma=0] inter_GCD5_GCD5  GCD(5,5)  nic=nic_local
################################################################
  [run 1/6] warm-up - 18:14:57
  [run 1/6] done in 3s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.54
2                       3.16
4                       6.33
8                      12.59
16                     25.26
32                     50.53
64                    100.99
128                   201.05
256                   399.29
512                   797.13
1024                 1596.26
2048                 3190.30
4096                 6378.72
8192                13126.72
16384               23318.12
32768               27846.98
65536               35868.30
131072              39585.67
262144              40461.17
524288              41544.47
1048576             42086.42
  [run 2/6] recording - 18:15:00
  [run 2/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.31
8                      12.65
16                     25.24
32                     50.57
64                    101.01
128                   201.22
256                   397.91
512                   793.98
1024                 1591.43
2048                 3181.30
4096                 6366.30
8192                13103.49
16384               23347.31
32768               28169.05
65536               35969.87
131072              39831.25
262144              40751.07
524288              41874.95
1048576             42311.75
  [run 3/6] recording - 18:15:02
  [run 3/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.15
4                       6.30
8                      12.56
16                     25.16
32                     50.42
64                    100.74
128                   201.02
256                   397.57
512                   793.24
1024                 1580.98
2048                 3185.42
4096                 6369.03
8192                13100.85
16384               23279.27
32768               28251.38
65536               35882.53
131072              39701.19
262144              40431.98
524288              41495.40
1048576             41981.97
  [run 4/6] recording - 18:15:04
  [run 4/6] done in 1s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.33
8                      12.68
16                     25.34
32                     50.73
64                    101.53
128                   202.24
256                   394.73
512                   788.91
1024                 1578.83
2048                 3157.73
4096                 6303.28
8192                12968.67
16384               23266.43
32768               28010.49
65536               35818.42
131072              39694.05
262144              41292.29
524288              41832.34
1048576             42267.97
  [run 5/6] recording - 18:15:05
  [run 5/6] done in 3s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.54
2                       3.07
4                       6.17
8                      12.35
16                     24.71
32                     49.53
64                     98.72
128                   197.09
256                   389.65
512                   779.87
1024                 1562.75
2048                 3123.47
4096                 6238.29
8192                12828.91
16384               23048.25
32768               27672.01
65536               35529.66
131072              39767.81
262144              40749.77
524288              41636.15
1048576             42084.10
  [run 6/6] recording - 18:15:08
  [run 6/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.33
8                      12.63
16                     25.22
32                     50.53
64                    100.99
128                   201.68
256                   390.36
512                   798.62
1024                 1600.88
2048                 3191.28
4096                 6399.89
8192                13174.74
16384               23354.39
32768               28245.59
65536               35967.53
131072              39884.77
262144              40841.01
524288              41848.44
1048576             42306.60

################################################################
# [native sdma=0] inter_GCD7_GCD7  GCD(7,7)  nic=nic_local
################################################################
  [run 1/6] warm-up - 18:15:10
srun: Step created for StepId=18750219.42
  [run 1/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.56
2                       3.12
4                       6.26
8                      12.48
16                     24.97
32                     50.01
64                    100.00
128                   199.51
256                   393.07
512                   784.75
1024                 1573.98
2048                 3148.21
4096                 6293.12
8192                12941.21
16384               22945.64
32768               28872.69
65536               36394.04
131072              40068.23
262144              43821.31
524288              45258.59
1048576             45978.20
  [run 2/6] recording - 18:15:12
  [run 2/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.15
4                       6.31
8                      12.61
16                     25.22
32                     50.42
64                    100.80
128                   201.10
256                   398.48
512                   795.83
1024                 1553.26
2048                 3171.85
4096                 6364.31
8192                13067.65
16384               23055.39
32768               29220.15
65536               36621.18
131072              40300.55
262144              43912.65
524288              45295.48
1048576             45991.55
  [run 3/6] recording - 18:15:14
srun: Step created for StepId=18750219.44
  [run 3/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.16
4                       6.32
8                      12.63
16                     25.25
32                     50.51
64                     99.84
128                   201.62
256                   397.58
512                   792.16
1024                 1581.07
2048                 3156.56
4096                 6347.85
8192                13015.29
16384               22997.00
32768               29053.95
65536               36582.54
131072              40203.61
262144              43873.89
524288              45288.47
1048576             45989.98
  [run 4/6] recording - 18:15:16
  [run 4/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.15
4                       6.30
8                      12.63
16                     25.26
32                     50.59
64                    100.93
128                   200.98
256                   397.26
512                   793.07
1024                 1588.24
2048                 3176.87
4096                 6345.32
8192                12990.66
16384               22995.50
32768               28271.67
65536               36514.31
131072              40200.70
262144              43864.19
524288              45280.09
1048576             45983.85
  [run 5/6] recording - 18:15:18
  [run 5/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.30
8                      12.45
16                     25.13
32                     50.64
64                    101.20
128                   201.44
256                   399.74
512                   798.85
1024                 1597.31
2048                 3195.10
4096                 6383.46
8192                12878.67
16384               23046.06
32768               29002.18
65536               36485.29
131072              40125.40
262144              43882.87
524288              45290.97
1048576             45989.07
  [run 6/6] recording - 18:15:20
  [run 6/6] done in 2s

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.58
2                       3.16
4                       6.33
8                      12.66
16                     25.31
32                     50.61
64                    101.14
128                   201.57
256                   398.91
512                   797.61
