
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.64
2                       5.85
4                      11.89
8                      23.66
16                     47.68
32                     95.76
64                    185.25
128                   348.42
256                   429.59
512                   780.38
1024                  566.74
2048                 1126.11
4096                 2264.71
8192                  969.33
16384                1961.05
32768                3812.43
65536                7343.41
131072              13629.26
262144              23423.20
524288              37447.96
1048576             51496.79
2097152             62406.32
4194304             68321.18
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.69
2                       5.92
4                      12.23
8                      24.12
16                     49.55
32                     96.75
64                    187.20
128                   333.90
256                   438.03
512                   786.49
1024                  561.85
2048                 1126.86
4096                 2250.70
8192                  972.29
16384                1964.28
32768                3828.98
65536                7363.40
131072              13727.50
262144              23437.30
524288              37513.17
1048576             51495.49
2097152             62334.87
4194304             68368.46
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.76
2                       6.16
4                      12.43
8                      24.93
16                     49.89
32                     98.42
64                    187.49
128                   342.34
256                   431.70
512                   792.87
1024                  572.34
2048                 1147.82
4096                 2297.25
8192                  977.02
16384                1960.79
32768                3811.62
65536                7330.49
131072              13753.73
262144              23463.24
524288              37440.64
1048576             51520.58
2097152             62314.49
4194304             68264.99
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.97
2                       6.70
4                      13.32
8                      26.68
16                     53.96
32                    104.46
64                    206.61
128                   342.03
256                   436.43
512                   808.42
